Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2004 Nissan Titan Xe,$ 1 400 USD,1,1N6AA07A84N563965,140 726 mi(подтвержден),17.05.2024 19:00 UTC,5.6l 8,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 8 856 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,
2015 Toyota Prius Plug-in,$ 750 USD,1,JTDKN3DP3F3073437,,17.05.2024 19:00 UTC,1.8l 4,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""VALLEJO, CALIFORNIA"",$ 20 629 USD,$ 14 475 USD,CA - NON-REPAIRABLE VEHICLE CERT,Столкновение,Повсюду,,
2007 Toyota Camry Ce,$ 800 USD,1,4T4BE46K07R002555,158 273 mi(подтвержден),17.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""VAN NUYS, CALIFORNIA"",$ 6 689 USD,$ 7 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,
2000 Honda Accord Ex,$ 575 USD,2,1HGCG6683YA037933,139 975 mi(подтвержден),17.05.2024 19:00 UTC,2.3l 4,Золотой,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 4 429 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,4-дверный седан
2016 Toyota Prius,$ 5 100 USD,1,JTDKBRFU8G3015503,19 982 mi,17.05.2024 19:00 UTC,1.8l 4,Бирюзовый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 13 995 USD,$ 15 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,хэтчбек
2000 Toyota Tacoma Xtracab Prerunner,$ 2 400 USD,1,4TASN92N9YZ592945,217 603 mi(подтвержден),17.05.2024 19:00 UTC,3.4l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 21 040 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение задней части,Повреждение передней части,
2023 Honda Hr-v Lx,$ 7 300 USD,1,3CZRZ1H38PM714543,27 879 mi(подтвержден),17.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMINGTON, CALIFORNIA"",$ 0 USD,$ 23 325 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,Повреждение ходовой части,
2006 Chrysler 300c,$ 1 500 USD,1,2C3LA63H56H103132,103 959 mi(подтвержден),17.05.2024 19:00 UTC,5.7l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 6 129 USD,$ 5 338 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части,
2007 Nissan Altima 2.5,$ 950 USD,1,1N4AL21E47C157675,135 116 mi(подтвержден),17.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 7 372 USD,$ 4 225 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,
2020 Honda Civic Lx,$ 5 500 USD,1,2HGFC2F61LH551838,34 172 mi(подтвержден),17.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMINGTON, CALIFORNIA"",$ 20 290 USD,$ 20 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
