Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2015 Chevrolet Equinox Lt,$ 2 000 USD,2,2GNFLFE37F6213834,107 955 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 11 141 USD,$ 10 225 USD,MN - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2016 Kia Soul +,$ 850 USD,1,KNDJP3A51G7336530,107 197 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 14 119 USD,$ 9 200 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,4-дверный спорт
2015 Kia Sorento Lx,$ 150 USD,1,5XYKTDA75FG624530,,14.05.2024 17:00 UTC,3.3l 6,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""KANSAS CITY, INDIANA"",$ 1 805 USD,$ 9 300 USD,IN - CERT OF TITLE-SALVAGE TITLE,Град,Град,Механическое повреждение,4-дверный спорт
2008 Saab 9-7x 4.2i,$ 150 USD,1,5S3ET13S182801045,221 295 mi,14.05.2024 17:00 UTC,4.2l 6,Черный,Механическая,Бензин,Полный привод,Ключи присутствуют,,""HUEYTOWN, ALABAMA"",$ 4 508 USD,$ 6 100 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,4-дверный спорт
2012 Mazda 3 I,$ 1 400 USD,1,JM1BL1L80C1676552,118 936 mi,14.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 8 715 USD,$ 7 175 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,
2015 Chevrolet Equinox Lt,$ 2 000 USD,2,2GNFLFE37F6213834,107 955 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 11 141 USD,$ 10 225 USD,MN - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2016 Kia Soul +,$ 850 USD,1,KNDJP3A51G7336530,107 197 mi(подтвержден),14.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 14 119 USD,$ 9 200 USD,NV - SALVAGE TITLE,Столкновение,Повсюду,,4-дверный спорт
2015 Kia Sorento Lx,$ 150 USD,1,5XYKTDA75FG624530,,14.05.2024 17:00 UTC,3.3l 6,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""KANSAS CITY, INDIANA"",$ 1 805 USD,$ 9 300 USD,IN - CERT OF TITLE-SALVAGE TITLE,Град,Град,Механическое повреждение,4-дверный спорт
2008 Saab 9-7x 4.2i,$ 150 USD,1,5S3ET13S182801045,221 295 mi,14.05.2024 17:00 UTC,4.2l 6,Черный,Механическая,Бензин,Полный привод,Ключи присутствуют,,""HUEYTOWN, ALABAMA"",$ 4 508 USD,$ 6 100 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,4-дверный спорт
2013 Tesla Model S,$ 3 100 USD,1,5YJSA1CP9DFP26709,188 466 mi(подтвержден),14.05.2024 16:00 UTC,,Синий,Автоматическая,Электричество,задний привод,Ключи присутствуют,заводится и едет,""GASTONIA, NORTH CAROLINA"",$ 21 052 USD,$ 22 700 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2016 Case Skidloader,$ 10 000 USD,2,JAFSV280HGM417140,1 615 mi,14.05.2024 17:00 UTC,,Золотой,Автоматическая,,,,улучшенные транспортные средства,""GREENWOOD, NEBRASKA"",$ 0 USD,$ 0 USD,NE - BILL OF SALE,Пожар,Пожар двигателя,,
2015 Mercedes-benz Glk 350 4matic,$ 1 800 USD,1,WDCGG8JB8FG375718,175 416 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""HAM LAKE, MINNESOTA"",$ 16 940 USD,$ 10 900 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2008 Hyundai Elantra Gls,$ 550 USD,2,KMHDU46D28U513080,189 118 mi(подтвержден),14.05.2024 18:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,,заводится и едет,""DENVER, COLORADO"",$ 3 426 USD,$ 5 000 USD,CO - PUBLIC - SALVAGE TITLE,Кража,Повреждение стороны,Град,
2022 Hyundai Tucson Sel,$ 9 300 USD,1,5NMJC3AE9NH011707,18 088 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 36 203 USD,$ 26 775 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Опрокидывание/Перевертышь,,
2007 Toyota Camry Solara Se,$ 400 USD,1,4T1FA38P17U128661,160 535 mi,14.05.2024 17:00 UTC,3.3l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""CORPUS CHRISTI, TEXAS"",$ 0 USD,$ 6 925 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,кабриолет
2016 Lincoln Mkz,$ 1 550 USD,1,3LN6L2J98GR615573,99 179 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""MCFARLAND, WISCONSIN"",$ 7 013 USD,$ 13 350 USD,WI - CERTIFICATE OF TITLE,Неизвестно,Повсюду,,
2019 Jeep Compass Trailhawk,$ 1 400 USD,1,3C4NJDDB5KT811532,85 169 mi(подтвержден),14.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 21 437 USD,$ 19 100 USD,NV - SALVAGE TITLE,Неизвестно,Повреждение передней части,,
2001 Dodge Ram 1500,$ 250 USD,1,1B7HF13Z41J594945,,14.05.2024 17:00 UTC,5.9l 8,Белый,,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""HAM LAKE, MINNESOTA"",$ 9 103 USD,$ 0 USD,MN - PARTS VEHICLE BILL OF SALE,Пожар,Пожар,,
2018 Honda Civic Ex,$ 7 500 USD,2,19XFC2F74JE015689,120 466 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 11 226 USD,$ 16 550 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Град,,
2007 Saturn Sky,$ 1 150 USD,1,1G8MB35B47Y103886,70 208 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 12 042 USD,$ 5 375 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части,родстер
2020 Mitsubishi Eclipse Cross Es,$ 3 700 USD,1,JA4AT3AAXLZ003048,79 827 mi(подтвержден),14.05.2024 17:00 UTC,1.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HAM LAKE, MINNESOTA"",$ 17 599 USD,$ 17 350 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2013 Toyota Corolla Base,$ 2 700 USD,1,5YFBU4EE6DP191704,151 137 mi,14.05.2024 17:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 8 792 USD,$ 8 600 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2023 Tesla Model 3,$ 6 700 USD,1,5YJ3E1EA8PF552993,8 389 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,,улучшенные транспортные средства,""MADISONVILLE, TENNESSEE"",$ 18 743 USD,$ 31 350 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2019 Ford Explorer Limited,$ 3 550 USD,1,1FM5K7F81KGB16514,197 864 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 17 427 USD,$ 22 925 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2012 Mazda 3 I,$ 1 400 USD,1,JM1BL1L80C1676552,118 936 mi,14.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 8 715 USD,$ 7 175 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,
2015 Chevrolet Equinox Lt,$ 2 000 USD,2,2GNFLFE37F6213834,107 955 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 11 141 USD,$ 10 225 USD,MN - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2016 Jeep Compass Latitude,$ 200 USD,1,1C4NJDEB8GD617055,152 009 mi(подтвержден),14.05.2024 18:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""HELENA, MONTANA"",$ 9 093 USD,$ 9 550 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Столкновение,Повреждение передней части,,4-дверный спорт
2013 Bmw 535 I,$ 1 750 USD,1,WBAFR7C5XDC827344,125 432 mi(подтвержден),14.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 11 335 USD,$ 10 675 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение задней части,
2011 Ford Taurus Limited,$ 375 USD,2,1FAHP2FW3BG114886,178 259 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 6 937 USD,$ 6 800 USD,WI - JUNKED VEHICLE BILL OF SALE,Неизвестно,Повсюду,,
2006 Ford F150 Supercrew,$ 1 500 USD,1,1FTRW12W06KD07131,,14.05.2024 17:00 UTC,4.6l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""CORPUS CHRISTI, TEXAS"",$ 8 647 USD,$ 7 050 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2012 Chevrolet Colorado,$ 850 USD,1,1GCCSBF92C8102611,204 993 mi,14.05.2024 17:00 UTC,2.9l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""Greenwell springs, MICHIGAN"",$ 7 452 USD,$ 7 400 USD,MI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Механическое повреждение,
2013 Toyota Tundra Double Cab Sr5,$ 4 650 USD,1,5TFRY5F17DX145286,,14.05.2024 17:00 UTC,5.7l 8,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""HUEYTOWN, ALABAMA"",$ 17 131 USD,$ 16 250 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,,
2017 Chevrolet Bolt Ev Lt,$ 3 250 USD,1,1G1FW6S02H4170625,71 526 mi(подтвержден),14.05.2024 17:00 UTC,,Черный,Автоматическая,Электричество,передний привод,Ключи присутствуют,двигатель запускается,""ELGIN, ILLINOIS"",$ 8 964 USD,$ 10 525 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2023 Chrysler 300 Touring L,$ 16 200 USD,1,2C3CCASG3PH565650,15 846 mi(подтвержден),14.05.2024 18:00 UTC,3.6l 6,Черный,,Этанолосодержащий бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 19 886 USD,$ 38 850 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2008 Saturn Vue Xr,$ 550 USD,1,3GSCL53778S619875,186 804 mi,14.05.2024 17:00 UTC,3.6l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""CORPUS CHRISTI, TEXAS"",$ 3 374 USD,$ 3 775 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2021 Honda Odyssey Ex,$ 3 950 USD,1,5FNRL6H59MB043857,25 216 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, ALABAMA"",$ 31 686 USD,$ 29 450 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,
2010 Mazda 3 I,$ 700 USD,1,JM1BL1SFXA1158428,160 586 mi,14.05.2024 17:00 UTC,2.0l 4,Бирюзовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MICHIGAN"",$ 8 773 USD,$ 6 525 USD,MI - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,Повреждение передней части,
2017 Tesla Model S,$ 8 500 USD,1,5YJSA1E10HF227182,85 335 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,задний привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 13 875 USD,$ 24 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2007 Honda Vt1100 C2,$ 425 USD,1,1HFSC43027A703144,20 115 mi,14.05.2024 17:00 UTC,2,Черный,,Бензин,,,улучшенные транспортные средства,""GREENWOOD, NEBRASKA"",$ 5 421 USD,$ 0 USD,NE - CERT OF TITLE-SALVAGE,Материальный ущерб,Повреждение стороны,Незначительная вмятина/царапины,
2013 Honda Civic Lx,$ 2 300 USD,1,19XFB2F58DE288589,181 532 mi(подтвержден),14.05.2024 19:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 9 108 USD,$ 8 775 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2015 Nissan Sentra S,$ 950 USD,1,3N1AB7APXFY308037,113 881 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, MISSISSIPPI"",$ 7 620 USD,$ 7 250 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повреждение передней части,,
2021 Mercedes-benz Glb 250,$ 12 600 USD,4,W1N4M4GB7MW166337,27 667 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 0 USD,$ 30 650 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2018 Audi Q5 Premium,$ 7 800 USD,1,WA1ANAFY4J2016002,60 034 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 19 399 USD,$ 19 525 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,,
2019 Lexus Es 350,$ 13 200 USD,1,JTHBZ1B19K2002216,14 783 mi(подтвержден),14.05.2024 19:00 UTC,3.5l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 33 215 USD,$ 31 175 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение передней части,
2022 Tesla Model 3,$ 11 800 USD,1,5YJ3E1EBXNF293591,22 459 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,заводится и едет,""ANTELOPE, CALIFORNIA"",$ 47 967 USD,$ 38 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2021 Tesla Model Y,$ 8 500 USD,1,5YJYGDEE5MF094104,67 975 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 34 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,
2016 Jeep Compass Latitude,$ 200 USD,1,1C4NJDEB8GD617055,152 009 mi(подтвержден),14.05.2024 18:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""HELENA, MONTANA"",$ 9 093 USD,$ 9 550 USD,MT - SALVAGE CERTIFICATE OF A VEHIC,Столкновение,Повреждение передней части,,4-дверный спорт
2012 Bmw 740 I,$ 2 350 USD,1,WBAKA4C56CC613468,160 930 mi(подтвержден),14.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 45 155 USD,$ 6 775 USD,CA - SALVAGE CERTIFICATE,Столкновение,Вандализм,,
2011 Ford Fusion Se,$ 600 USD,1,3FAHP0HA3BR246710,142 043 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 4 486 USD,$ 6 275 USD,NE - CERT OF TITLE-SALVAGE,Материальный ущерб,Повреждение стороны,,
2023 Jeep Compass Sport,$ 6 100 USD,1,3C4NJDAN9PT509022,27 112 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""CORPUS CHRISTI, TEXAS"",$ 19 493 USD,$ 24 050 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2024 Chevrolet Equinox Lt,$ 9 800 USD,1,3GNAXUEG6RL126366,7 936 mi(подтвержден),14.05.2024 17:00 UTC,1.5l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""GREENWOOD, NEBRASKA"",$ 19 181 USD,$ 0 USD,NE - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,
2016 Honda Odyssey Ex,$ 4 400 USD,1,5FNRL5H49GB100435,115 964 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 13 810 USD,$ 14 350 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2019 Dodge Grand Caravan Sxt,$ 4 750 USD,1,2C4RDGCGXKR786802,91 524 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Серый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, MISSOURI"",$ 10 503 USD,$ 15 550 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,
2013 Ford Explorer Xlt,$ 1 400 USD,1,1FM5K8D81DGC19024,230 136 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 13 697 USD,$ 9 150 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2021 Toyota Tacoma Access Cab,$ 3 100 USD,1,3TYRX5GN7MT005625,41 784 mi(подтвержден),14.05.2024 17:00 UTC,2.7l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""CORPUS CHRISTI, TEXAS"",$ 30 970 USD,$ 27 750 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повсюду,,
2015 Toyota Corolla L,$ 3 450 USD,1,5YFBURHE9FP186363,99 346 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, CALIFORNIA"",$ 16 352 USD,$ 13 050 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение рамы,Повреждение передней части,
2012 Toyota Highlander Base,$ 2 050 USD,3,5TDZK3EH7CS062787,112 659 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""CORPUS CHRISTI, TEXAS"",$ 0 USD,$ 10 925 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Механическое повреждение,Повреждение передней части,4-дверный спорт
2019 Mitsubishi Mirage Es,$ 425 USD,1,ML32A3HJ9KH011834,131 471 mi(подтвержден),14.05.2024 17:00 UTC,1.2l 3,Оранжевый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""HAM LAKE, MINNESOTA"",$ 9 170 USD,$ 9 000 USD,MN - PARTS VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,Повреждение задней части,
2014 Gmc Acadia Sle,$ 1 100 USD,1,1GKKRPKDXEJ230481,147 035 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 7 655 USD,$ 8 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Частичный ремонт,
2011 Chevrolet Traverse Lt,$ 900 USD,1,1GNKVGED5BJ208605,192 018 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 6 888 USD,$ 5 200 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Неизвестно,Повреждение передней части,,
2012 Toyota Camry Base,$ 1 850 USD,1,4T1BF1FK5CU577556,229 673 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 1 074 USD,$ 9 150 USD,TN - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение задней части,
2016 Subaru Impreza,$ 2 900 USD,2,JF1GJAA67GG005921,71 581 mi(подтвержден),14.05.2024 18:00 UTC,2.0l 4,Черный,Механическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 9 375 USD,$ 11 475 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение задней части,,4-дверный седан
2016 Honda Fit Ex,$ 2 350 USD,1,JHMGK5H75GS004954,88 387 mi,14.05.2024 18:00 UTC,1.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 9 839 USD,$ 12 700 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,хэтчбек
2019 Buick Envision Essence,$ 3 800 USD,2,LRBFXCSA6KD016517,40 484 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 0 USD,$ 20 350 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Повреждение передней части,
2019 Ford Edge Titanium,$ 11 100 USD,1,2FMPK3K93KBC46821,70 250 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 8 988 USD,$ 18 475 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,
2017 Honda Cr-v Lx,$ 4 250 USD,1,5J6RW6H36HL001214,83 409 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 16 815 USD,$ 17 775 USD,IL - SALVAGE CERTIFICATE,Столкновение,Механическое повреждение,Повреждение передней части,
2014 Bmw 335 Xi,$ 2 250 USD,1,WBA3B9C5XEP458272,132 343 mi(подтвержден),14.05.2024 17:00 UTC,3.0l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 14 689 USD,$ 13 525 USD,WI - JUNKED VEHICLE BILL OF SALE,Неизвестно,Повсюду,,
2014 Kia Optima Lx,$ 1 600 USD,1,5XXGM4A70EG350126,157 397 mi,14.05.2024 18:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,передний привод,,заводится и едет,""BRIGHTON, COLORADO"",$ 9 552 USD,$ 7 425 USD,CO - PUBLIC - SALVAGE TITLE,Неизвестно,Повреждение передней части,,4-дверный седан
2012 Honda Civic Exl,$ 800 USD,1,19XFB2F9XCE033959,143 434 mi(подтвержден),14.05.2024 19:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""PHOENIX, ARIZONA"",$ 9 950 USD,$ 8 750 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,
2023 Tesla Model Y,$ 15 100 USD,1,7SAYGDEE6PF637273,30 560 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 40 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2009 Honda Accord Exl,$ 275 USD,1,1HGCP26849A089856,177 852 mi,14.05.2024 17:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 6 283 USD,$ 8 775 USD,WI - JUNKED VEHICLE BILL OF SALE,Материальный ущерб,Повреждение передней части,,
2013 Hyundai Sonata Gls,$ 850 USD,1,5NPEB4AC5DH720242,92 642 mi(подтвержден),14.05.2024 17:00 UTC,2.4l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""MCFARLAND, WISCONSIN"",$ 25 090 USD,$ 5 800 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,Повреждение стороны,
2010 Audi Q5 Premium Plus,$ 800 USD,3,WA1LKAFP8AA089050,149 868 mi(подтвержден),14.05.2024 19:00 UTC,3.2l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, CALIFORNIA"",$ 0 USD,$ 6 825 USD,CA - CERTIFICATE OF TITLE (P),Дилерские услуги Copart,Механическое повреждение,,4-дверный спорт
