Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2023 Tesla Model Y,$ 16 100 USD,1,7SAYGDEE4PF794431,9 916 mi(подтвержден),13.05.2024 17:00 UTC,,,Серый,Электричество,Полный привод,,улучшенные транспортные средства,$ 22 173 USD,$ 48 725 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение рамы,Повреждение задней части,Автоматическая,LEBANON,TENNESSEE
2001 Toyota Camry Ce,$ 325 USD,1,4T1BG22K61U870176,195 480 mi,13.05.2024 18:00 UTC,2.2l 4,4-дверный седан,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 5 222 USD,$ 0 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая,LITTLETON,COLORADO
2011 Chevrolet Equinox Lt,$ 1 900 USD,1,2CNALDEC6B6232744,142 308 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 211 USD,$ 6 800 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Автоматическая,PHOENIX,ARIZONA
2013 Hyundai Santa Fe Limited,$ 1 750 USD,6,KM8SR4HF0DU019186,125 833 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 160 USD,$ 9 800 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,ARLINGTON,WASHINGTON
2015 Bmw 320 I Xdrive,$ 6 200 CAD,1,WBA3C3C53FK202659,79 767 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,4-дверный седан,Синий,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 16 841 CAD,$ 13 600 CAD,ON - PERMIT NO BRAND - UNFIT,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая,BOWMANVILLE,ONTARIO
2013 Hyundai Santa Fe Limited,$ 1 750 USD,6,KM8SR4HF0DU019186,125 833 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 160 USD,$ 9 800 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,ARLINGTON,WASHINGTON
2015 Bmw 320 I Xdrive,$ 6 200 CAD,1,WBA3C3C53FK202659,79 767 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,4-дверный седан,Синий,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 16 841 CAD,$ 13 600 CAD,ON - PERMIT NO BRAND - UNFIT,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая,BOWMANVILLE,ONTARIO
2015 Mazda Cx-5 Touring,$ 325 CAD,1,JM3KE4CY9F0500094,,13.05.2024 17:00 UTC,2.5l 4,4-дверный спорт,Пожар,Бензин,Полный привод,,улучшенные транспортные средства,$ 16 340 CAD,$ 0 CAD,ON - PERMIT IRREPAIRABLE,Пожар,Пожар двигателя,Пожар,Автоматическая,BOWMANVILLE,ONTARIO
2019 Chevrolet Trax 1lt,$ 1 750 USD,1,KL7CJLSB4KB937514,54 415 mi(подтвержден),13.05.2024 17:00 UTC,1.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 15 296 USD,$ 13 950 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,LEBANON,TENNESSEE
2013 Mercedes-benz Gl 550 4matic,$ 5 100 USD,1,4JGDF7DE9DA202541,110 907 mi(подтвержден),13.05.2024 18:00 UTC,4.6l 8,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 22 245 USD,$ 17 500 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,LITTLETON,COLORADO
2004 Toyota Tacoma Xtracab,$ 1 400 USD,1,5TEWN72N94Z377848,303 662 mi(подтвержден),13.05.2024 18:00 UTC,3.4l 6,,Серебряный,Бензин,4х4 с задним приводом,Ключи присутствуют,,$ 7 383 USD,$ 0 USD,CO - SALVAGE TITLE,Столкновение,Опрокидывание/Перевертышь,,Механическая,LITTLETON,COLORADO
2022 Hyundai Sonata Se,$ 11 000 CAD,1,5NPEG4JAXNH134606,46 328 mi(подтвержден),13.05.2024 17:00 UTC,2.5l 4,,Серый,Бензин,передний привод,,,$ 23 355 CAD,$ 0 CAD,ON - PERMIT SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,BOWMANVILLE,ONTARIO
2018 Chevrolet Malibu Ls,$ 1 150 USD,1,1G1ZB5ST0JF292830,99 219 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 14 096 USD,$ 14 925 USD,WI - JUNKED VEHICLE BILL OF SALE,Неизвестно,Повреждение передней части,,Автоматическая,FRANKLIN,WISCONSIN
2015 Ford Fusion Se,$ 1 500 USD,1,1FA6P0HD7F5107870,146 843 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 9 100 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины,Автоматическая,WICHITA,KANSAS
1998 Honda Cr-v Lx,$ 400 USD,1,JHLRD1840WC061223,149 157 mi,13.05.2024 17:00 UTC,2.0l 4,,Красный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 11 890 USD,$ 0 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,WICHITA,KANSAS
2022 Chevrolet Malibu Lt,$ 7 100 USD,1,1G1ZD5ST7NF195088,51 434 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 15 971 USD,$ 22 350 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,LEBANON,TENNESSEE
2017 Kia Forte Lx,$ 425 USD,1,3KPFL4A78HE066870,,13.05.2024 17:00 UTC,2.0l 4,,Черный,Бензин,передний привод,,улучшенные транспортные средства,$ 16 784 USD,$ 12 900 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повсюду,,Автоматическая,LEBANON,TENNESSEE
2017 Hyundai Elantra Se,$ 3 150 USD,1,5NPD84LF8HH049348,31 873 mi,13.05.2024 19:00 UTC,2.0l 4,4-дверный седан,Красный,Бензин,передний привод,,заводится и едет,$ 11 473 USD,$ 14 900 USD,NV - SALVAGE TITLE,Вандализм,Вандализм,,Автоматическая,NORTH LAS VEGAS,NEVADA
2013 Honda Civic Lx,$ 2 600 USD,1,2HGFB2F59DH581293,84 924 mi(подтвержден),13.05.2024 17:00 UTC,1.8l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 16 754 USD,$ 8 775 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая,LEBANON,TENNESSEE
2023 Harley-davidson Flhtk,$ 10 000 USD,1,1HD1KEF14PB627194,,13.05.2024 17:00 UTC,2,,Черный,Бензин,,,,$ 26 132 USD,$ 0 USD,VA - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,,Автоматическая,LEBANON,VIRGINIA
2010 Acura Mdx Technology,$ 550 USD,1,2HNYD2H61AH503507,158 092 mi(подтвержден),13.05.2024 17:00 UTC,3.7l 6,,Коричневый,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,$ 8 008 USD,$ 9 425 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,WHEELING,ILLINOIS
2019 Toyota C-hr Xle,$ 5 200 USD,1,JTNKHMBX8K1047725,98 306 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 413 USD,$ 19 725 USD,AR - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,CONWAY,ARKANSAS
2008 Mazda 3 I,$ 175 CAD,1,JM1BK32F081859973,388 764 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,4-дверный седан,Черный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 2 336 CAD,$ 0 CAD,ON - PERMIT NO BRAND - UNFIT,Столкновение,Повреждение передней части,Повреждение стороны,Механическая,LONDON,ONTARIO
2013 Fiat 500 Sport,$ 1 100 USD,1,3C3CFFBR6DT745701,22 438 mi(подтвержден),13.05.2024 17:00 UTC,1.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 079 USD,$ 6 300 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,Повреждение ходовой части,Механическая,FRANKLIN,WISCONSIN
2017 Hyundai Elantra Se,$ 975 USD,1,KMHD74LF6HU376478,70 432 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 11 300 USD,WA - BILL OF SALE,Неизвестно,Повреждение задней части,Повреждение передней части,Автоматическая,ARLINGTON,WASHINGTON
2010 Dodge Avenger Sxt,$ 525 CAD,1,1B3CC4FB5AN104624,161 572 mi(подтвержден),13.05.2024 17:00 UTC,2.4l 4,4-дверный седан,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 699 CAD,$ 0 CAD,ON - PERMIT SALVAGE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая,LONDON,ONTARIO
2014 Honda Cr-v Lx,$ 2 400 USD,1,5J6RM4H33EL041501,168 949 mi(подтвержден),13.05.2024 17:00 UTC,2.4l 4,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 8 715 USD,$ 11 450 USD,WI - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Автоматическая,FRANKLIN,WISCONSIN
2006 Ford Mustang,$ 800 USD,3,1ZVFT84N665101591,93 188 mi(подтвержден),13.05.2024 17:00 UTC,4.0l 6,,Зеленый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 4 932 USD,$ 5 900 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повреждение передней части,,Автоматическая,FRANKLIN,WISCONSIN
2018 Ford Fusion Se Hybrid,$ 1 100 USD,1,3FA6P0LUXJR137264,107 222 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,,Серебряный,Гибрид,передний привод,Ключи присутствуют,,$ 19 073 USD,$ 14 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,Автоматическая,HOUSTON,TEXAS
2014 Chevrolet Equinox Lt,$ 1 600 USD,1,2GNALBEK0E6139651,185 224 mi(подтвержден),13.05.2024 17:00 UTC,2.4l 4,4-дверный спорт,Синий,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 757 USD,$ 8 200 USD,KS - CERT OF TITLE-SALVAGE,Диллерский коносамент,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,WICHITA,KANSAS
2007 Acura Rdx,$ 450 USD,11,5J8TB18207A003649,220 698 mi(подтвержден),13.05.2024 17:00 UTC,2.3l 4,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 6 400 USD,TN - SALVAGE CERTIFICATE,Дилерские услуги Copart,Повреждение передней части,,,LEBANON,TENNESSEE
2024 Kia Sportage Lx,$ 12 100 USD,1,KNDPU3DF5R7266587,3 570 mi(подтвержден),13.05.2024 16:00 UTC,2.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 11 418 USD,$ 0 USD,CA - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,Автоматическая,PHOENIX,CALIFORNIA
2014 Kia Sorento Lx,$ 2 050 USD,1,5XYKT3A66EG518099,169 331 mi(подтвержден),13.05.2024 17:00 UTC,2.4l 4,4-дверный спорт,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 8 031 USD,$ 6 500 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая,LEBANON,TENNESSEE
2019 Chevrolet Malibu Lt,$ 3 600 USD,1,1G1ZD5ST0KF104769,120 361 mi(подтвержден),13.05.2024 17:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 12 828 USD,$ 13 000 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,LEBANON,TENNESSEE
2015 Lexus Rc 350,$ 15 300 USD,1,JTHHE5BCXF5004656,73 019 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,купе,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 21 256 USD,$ 22 050 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Вандализм,Повсюду,Автоматическая,MARTINEZ,CALIFORNIA
2013 Toyota Yaris,$ 2 300 USD,1,JTDKTUD33DD545331,169 376 mi(подтвержден),13.05.2024 19:00 UTC,1.5l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 6 783 USD,$ 8 200 USD,NV - SALVAGE TITLE,Материальный ущерб,Повреждение стороны,,Автоматическая,NORTH LAS VEGAS,NEVADA
2016 Ford Mustang Gt,$ 7 000 USD,1,1FA6P8CF1G5256980,83 011 mi(подтвержден),13.05.2024 19:00 UTC,5.0l 8,,Серый,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 22 798 USD,$ 23 125 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Механическая,ADELANTO,CALIFORNIA
2011 Subaru Legacy 2.5i,$ 175 USD,1,4S3BMBA61B3249971,160 702 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,$ 0 USD,$ 6 500 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части,Автоматическая,SACRAMENTO,CALIFORNIA
2001 Saab 9-5 Aero,$ 375 USD,1,YS3EH48G113051801,174 447 mi,13.05.2024 18:00 UTC,2.3l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 4 560 USD,$ 0 USD,CO - PUBLIC - SALVAGE TITLE,Материальный ущерб,Повреждение задней части,,Автоматическая,LITTLETON,COLORADO
2010 Toyota 4runner Sr5,$ 7 300 USD,1,JTEBU5JR9A5022781,109 513 mi(подтвержден),13.05.2024 18:00 UTC,4.0l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 13 195 USD,$ 15 800 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,LITTLETON,COLORADO
2001 Honda Accord Lx,$ 250 USD,1,1HGCG164X1A035943,217 295 mi,13.05.2024 17:00 UTC,3.0l 6,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 7 788 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,GRAND PRAIRIE,TEXAS
2016 Dodge Charger Se,$ 3 250 USD,1,2C3CDXBG3GH272993,104 294 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,4-дверный седан,Черный,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,$ 9 012 USD,$ 12 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,NORTH LAS VEGAS,CALIFORNIA
2021 Kia Soul Ex,$ 5 300 USD,1,KNDJ33AU9M7762609,28 051 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 13 456 USD,$ 19 675 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,,Автоматическая,PHOENIX,ARIZONA
2023 Kia Sorento Ex,$ 22 400 USD,1,KNDRHDLG1P5224410,8 155 mi(подтвержден),13.05.2024 19:00 UTC,1.6l 4,,Белый,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,$ 38 573 USD,$ 37 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,SACRAMENTO,CALIFORNIA
1997 Lexus Ls 400,$ 100 USD,1,JT8BH28F5V0074641,231 395 mi(подтвержден),13.05.2024 19:00 UTC,4.0l 8,4-дверный седан,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,MARTINEZ,CALIFORNIA
2023 Kia Sorento Ex,$ 22 400 USD,1,KNDRHDLG1P5224410,8 155 mi(подтвержден),13.05.2024 19:00 UTC,1.6l 4,,Белый,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,$ 38 573 USD,$ 37 525 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая,SACRAMENTO,CALIFORNIA
1997 Lexus Ls 400,$ 100 USD,1,JT8BH28F5V0074641,231 395 mi(подтвержден),13.05.2024 19:00 UTC,4.0l 8,4-дверный седан,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая,MARTINEZ,CALIFORNIA
2023 Chevrolet Malibu Lt,$ 12 800 USD,1,1G1ZD5ST3PF247660,19 492 mi(подтвержден),13.05.2024 16:00 UTC,1.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 9 758 USD,$ 23 850 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Столкновение,Повреждение стороны,,Автоматическая,FRESNO,CALIFORNIA
2013 Kia Optima Hybrid,$ 1 500 USD,1,KNAGM4ADXD5060031,115 934 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,4-дверный седан,Серебряный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 6 825 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,,Автоматическая,PHOENIX,ARIZONA
2023 Gmc Acadia At4,$ 11 900 USD,1,1GKKNLLS5PZ235061,5 561 mi(подтвержден),13.05.2024 19:00 UTC,3.6l 6,,Серый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,$ 39 614 USD,$ 39 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая,ADELANTO,CALIFORNIA
2018 Honda Accord Sport,$ 8 100 USD,1,1HGCV2F30JA048879,68 226 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,$ 16 412 USD,$ 21 700 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,LOS ANGELES,CALIFORNIA
2012 Volkswagen Tiguan S,$ 1 600 USD,1,WVGBV7AX0CW518685,95 235 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 8 440 USD,$ 7 225 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая,SACRAMENTO,CALIFORNIA
2008 Toyota Tundra Crewmax Limited,$ 9 400 USD,1,5TFDV58108X082280,171 698 mi(подтвержден),13.05.2024 18:00 UTC,5.7l 8,,Желто-коричневый,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 12 248 USD,$ 18 875 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая,LITTLETON,COLORADO
2022 Ram 1500 Big Horn/lone Star,$ 14 500 USD,1,1C6RRFBG3NN468414,58 237 mi(подтвержден),13.05.2024 16:00 UTC,3.6l 6,,Красный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 17 286 USD,$ 37 175 USD,FL - DLR/DIS/EXP-CT OTHERS-CA ACQ,Столкновение,Повреждение передней части,,Автоматическая,VAN NUYS,FLORIDA
2015 Fiat 500 Electric,$ 1 500 USD,3,3C3CFFGE5FT640348,39 442 mi(подтвержден),13.05.2024 19:00 UTC,,,Серый,Электричество,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 11 250 USD,NV - DLR/DIS/EXP-CT OTHERS-,Пожертвование,Незначительная вмятина/царапины,Механическое повреждение,Автоматическая,SACRAMENTO,NEVADA
2014 Audi A6 Premium Plus,$ 5 000 USD,1,WAUFGAFC0EN078007,94 183 mi(подтвержден),13.05.2024 19:00 UTC,3.0l 6,4-дверный седан,Серый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 11 625 USD,AZ - CERTIFICATE OF TITLE,Дилерские услуги Copart,Незначительная вмятина/царапины,Повреждение передней части,Автоматическая,PHOENIX,ARIZONA
2017 Chevrolet Colorado Lt,$ 4 300 USD,1,1GCGSCEN8H1145906,58 270 mi(подтвержден),13.05.2024 17:00 UTC,3.6l 6,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,$ 0 USD,$ 21 250 USD,TX - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение передней части,Повреждение стороны,Автоматическая,GRAND PRAIRIE,TEXAS
2007 Bmw 328 It,$ 375 USD,2,WBAVS13567FX15995,,13.05.2024 19:00 UTC,3.0l 6,,Серебряный,Бензин,задний привод,,улучшенные транспортные средства,$ 0 USD,$ 0 USD,AZ - CERT OF TITLE-RESTORED SALVAGE,Пожертвование,Незначительная вмятина/царапины,,Автоматическая,PHOENIX,ARIZONA
2003 Toyota Camry Le,$ 200 USD,3,4T1BE32K03U203411,256 959 mi,13.05.2024 19:00 UTC,2.4l 4,,Синий,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 0 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Публичный коносамент,Разукомплектовано,,Автоматическая,ADELANTO,CALIFORNIA
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
2004 Honda Accord Ex,$ 250 USD,1,1HGCM56864A068090,,20.05.2024 14:00 UTC,2.4l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,$ 5 785 USD,$ 10 950 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,LEXINGTON,KENTUCKY
