Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач,Город,Штат
2017 Hyundai Tucson Limited,$ 4 950 USD,1,KM8J3CA20HU311845,97 968 mi(подтвержден),13.05.2024 14:00 UTC,1.6l 4,,Синий,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 12 732 USD,$ 15 400 USD,NY - MV-907A SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,Повреждение стороны,Автоматическая,LEROY,NEW YORK
2018 Chevrolet Camaro Lt,$ 125 USD,1,1G1FB1RX9J0178946,,13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,задний привод,,улучшенные транспортные средства,$ 21 866 USD,$ 20 925 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,,Автоматическая,MARTINEZ,CALIFORNIA
2013 Mercedes-benz Ml 350 Bluetec,$ 3 100 USD,1,4JGDA2EB4DA177683,112 619 mi(подтвержден),13.05.2024 17:00 UTC,3.0l 6,,Черный,Дизель,Полный привод,Ключи присутствуют,заводится и едет,$ 9 004 USD,$ 11 200 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая,WILMER,TEXAS
2006 Toyota Tacoma X-runner Access Cab,$ 375 USD,1,5TETU22N76Z236448,128 498 mi(подтвержден),13.05.2024 22:00 UTC,4.0l 6,,Синий,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,$ 0 USD,$ 10 300 USD,HI - BILL OF SALE - PARTS ONLY,Столкновение,Повсюду,,Автоматическая,KAPOLEI,HAWAII
2014 Chevrolet Volt,$ 3 700 USD,1,1G1RA6E46EU111406,86 124 mi(подтвержден),13.05.2024 14:00 UTC,1.4l 4,хэтчбек,Красный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,$ 6 204 USD,$ 8 050 USD,VT - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины,Автоматическая,CENTER RUTLAND,VERMONT
2005 Ford Explorer Sport Trac,$ 600 USD,1,1FMZU67KX5UB93968,164 192 mi,13.05.2024 14:00 UTC,4.0l 6,,Черный,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,$ 11 579 USD,$ 5 900 USD,SC - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части,Автоматическая,SPARTANBURG,SOUTH CAROLINA
2002 Chevrolet Blazer,$ 150 USD,1,1GNDT13W92K221755,,13.05.2024 14:00 UTC,4.3l 6,,Желто-коричневый,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,$ 0 USD,$ 2 900 USD,IN - BILL OF SALE - PARTS ONLY,Пожертвование,Повреждение передней части,,,FORT WAYNE,INDIANA
2011 Volkswagen Jetta Tdi,$ 2 300 USD,1,3VWPL7AJ9BM663523,121 491 mi(подтвержден),13.05.2024 17:00 UTC,2.0l 4,стационарный (неподвижный),Синий,Дизель,передний привод,Ключи присутствуют,заводится и едет,$ 7 277 USD,$ 7 325 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,,Автоматическая,AVON,MINNESOTA
2018 Mitsubishi Outlander Sport Es,$ 5 800 USD,1,JA4AR3AU6JZ012979,36 895 mi(подтвержден),13.05.2024 14:00 UTC,2.0l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,$ 13 734 USD,$ 15 725 USD,PA - CERTIFICATE OF SALVAGE,Материальный ущерб,Повреждение задней части,Незначительная вмятина/царапины,Автоматическая,YORK HAVEN,PENNSYLVANIA
2017 Chevrolet Silverado K1500 Lt,$ 7 000 USD,1,1GCVKREC8HZ279292,85 232 mi(подтвержден),13.05.2024 17:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,$ 24 205 USD,$ 25 375 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая,LEBANON,TENNESSEE
